Identification,,,Tool Context,,Tool Accessibility and Sustainability,,,,,,Openness,
"```json
{
    ""title"": ""On Challenges in Verifying Trusted Executable Files in Memory Forensics""
}
```",sigcheck,2020,created,academic_research_DFRWS,https://github.com/reversea-me/sigcheck,Github,repository platform,accessible,no recent activity," Jun 13, 2023",open-source,
"```json
{
    ""title"": ""On enhancing memory forensics with FAME: Framework for advanced monitoring and execution""
}
```",Framework for Advanced Monitoring and Execution (FAME),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""On the database lookup problem of approximate matching""
}
```",mrsh-net,2014,created,academic_research_DFRWS,http://wp1187348.server-he.de/z_downloads/tool.zip,project/personal server,archive download,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""On the feasibility of binary authorship characterization""
}
```",BinChar,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""One key to rule them all: Recovering the master key from RAM to break Android's ï¬le-based encryption""
}
```",fbekeyrecover,2021,created,academic_research_DFRWS,https://www.cs1.tf.fau.de/research/system-security-group/one-key-to-rule/,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""OpenForensics: A digital forensics GPU pattern matching approach for the 21st century""
}
```",OpenForensics,2018,created,academic_research_DFRWS,https://github.com/ethanbayne/OpenForensics,Github,repository platform,accessible,no recent activity,30-Jun-22,open-source,
"```json
{
    ""title"": ""OpenLV: Empowering investigators and ï¬rst-responders in the digital forensics process""
}
```",OpenLV,2014,created,academic_research_DFRWS,http://www.openlv.org/,project website,webpage,accessible,no recent activity,5/8/2014,open-source,
"```json
{
    ""title"": ""Out of sight, but not out of mind: Traces of nearby devices â€™ wireless transmissions in volatile memory""
}
```",framescripts,2014,created,academic_research_DFRWS,http://oos.nontrivialpursuit.org/ogb/framescripts.tar.gz,project/personal server,archive download,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""PeekaTorrent : Leveraging P2P hash values for digital forensics""
}
```",PeekaTorrent,2016,created,academic_research_DFRWS,https://www.peekatorrent.org,project website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""PEM: Remote forensic acquisition of PLC memory in industrial control systems""
}
```",PEM,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""PHASER: Perceptual hashing algorithms evaluation and results - An open source forensic framework""
}
```",PHASER,2024,created,academic_research_DFRWS,https://GitHub.com/AabyWan/PHASER,Github,repository platform,accessible,recent activity,8-May-25,open-source,
"```json
{
    ""title"": ""DFIR in orchestration Environments: Real-time forensic framework with eBPF for windowsPhilgeun""
}
```",eBPF-for-DFIR,2025,created,academic_research_DFRWS,https://github.com/capelabs/eBPF-for-DFIR,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Picking up the trash: Exploiting generational GC for memory analysis""
}
```",RecOOP,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Pool tag quick scanning for windows memory analysis""
}
```",psquickscan,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Pool tag quick scanning for windows memory analysis""
}
```",psscan,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""PREE: Heuristic builder for reverse engineering of network protocols in industrial control systems""
}
```",PREE,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Privacy-preserving email forensics""
}
```",PPEF (Privacy Preserving Email Forensics),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Problem solved: A reliable, deterministic method for JPEG fragmentation point detection""
}
```",JPEG validator,2024,created,academic_research_DFRWS,https://github.com/parsingdata/jpeg-fragments,Github,repository platform,accessible,recent activity,25-Mar-24,open-source,
"```json
{
    ""title"": ""ProvNet-IoT: Provenance based network layer forensics in Internet of Things""
}
```",PCAP parser,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""PyFlag â€“ An advanced network forensic framework""
}
```",PyFlag,2008,created,academic_research_DFRWS,http://www.pyflag.net,project website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Ranking algorithms for digital forensic string search hits""
}
```",Sifter,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Rapid differential forensic imaging of mobile devices""
}
```",hawkeye,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Rapid forensic imaging of large disks with sifting collectors""
}
```",sifting collectors,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Rapid forensic imaging of large disks with sifting collectors""
}
```",HILPI,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Re-imagen: Generating coherent background activity in synthetic scenario-based forensic datasets using large language models""
}
```",Re-imagen,2024,created,academic_research_DFRWS,https://github.com/lenavoigt/re-imagen,Github,repository platform,accessible,recent activity,28-Mar-25,open-source,
"```json
{
    ""title"": ""Reconstructing corrupt DEFLATEd ï¬les""
}
```",ZipRec,2011,created,academic_research_DFRWS,http://ziprec.sourceforge.net/,SourceForge,repository platform,accessible,no recent activity,Last Update: 2014-04-27,open-source,
"```json
{
    ""title"": ""Recovering deleted data from the Windows registry""
}
```",reglookup-recover,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Recovery method of deleted records and tables from ESE database""
}
```",EDBForensic,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Recovery of heavily fragmented JPEG ï¬les""
}
```",CED,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Robust bootstrapping memory analysis against anti-forensics""
}
```",KPCR-based analysis,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Detecting hidden kernel modules in memory snapshots""
}
```",ModXRef,2025,created,academic_research_DFRWS,https://github.com/CrySyS/ModXRef,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Samsung tracking tag application forensics in criminal investigations""
}
```",S.TASER,2025,created,academic_research_DFRWS,https://github.com/eininondumak/S.TASER,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""SCADA network forensics of the PCCC protocol""
}
```",Cutter,2017,created,academic_research_DFRWS,https://github.com/ahmirf/cutter,Github,repository platform,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""SCARF: A container-based approach to cloud-scale digital forensic processing""
}
```",SCARF,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Seance: Divination of tool-breaking changes in forensically important binaries""
}
```",Seance,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Searching for processes and threads in Microsoft Windows memory dumps""
}
```",PTfinder,2006,created,academic_research_DFRWS,http://computer.forensikblog.de/en/2006/03/ptfinder_0_2_00.html,personal website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Secure USB bypassing tool""
}
```",Secure USB bypassing tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Selective and intelligent imaging using digital evidence bags""
}
```",Digital Evidence Bag (DEB),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Selective and intelligent imaging using digital evidence bags""
}
```",Selective/Intelligent Imager,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Selective deletion of non-relevant data""
}
```",Selective Deletion Plugin for Digital Forensics Framework (DFF),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Selective Imaging of File System Data on Live Systems""
}
```",SIT,,created,academic_research_DFRWS,https://gitlab.cs.fau.de/op64ycuz/sit,Gitlab,repository platform,accessible,no recent activity,5 years ago,open-source,
"```json
{
    ""title"": ""SIGMA: A Semantic Integrated Graph Matching Approach for identifying reused functions in binary code""
}
```",SIGMA,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""So fresh, so clean: Cloud forensic analysis of the Amazon iRobot Roomba vacuum""
}
```",PyRoomba,2024,created,academic_research_DFRWS,https://github.com/BiTLab-BaggiliTruthLab/PyRoomba,Github,repository platform,accessible,no recent activity,1-Dec-23,open-source,
"```json
{
    ""title"": ""SSHkex : Leveraging virtual machine introspection for extracting SSH keys and decrypting SSH network traf ï¬c""
}
```",SSHKex,2022,created,academic_research_DFRWS,https://github.com/smartvmi/SSHKex,Github,repository platform,accessible,no recent activity,5 years ago,open-source,
"```json
{
    ""title"": ""Styx: Countering robust memory acquisition""
}
```",Styx,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Surveying the user space through user allocations""
}
```",Userspace.py,2012,created,academic_research_DFRWS,http://github.com/a-white/,Github,repository platform,accessible,no recent activity,14 years ago,open-source,
"```json
{
    ""title"": ""SyncTriage: Using synchronisation artefacts to optimise acquisition order""
}
```",sync_triage,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Syntactical Carving of PNGs and Automated Generation of Reproducible Datasets""
}
```",syntactical PNG file carver,,created,academic_research_DFRWS,https://github.com/fkie-cad/png-carving,Github,repository platform,accessible,no recent activity,5 years ago,open-source,
"```json
{
    ""title"": ""Tapping .IPAs: An automated analysis of iPhone applications using apple silicon macs""
}
```",AppTap,2025,created,academic_research_DFRWS,https://github.com/StevenSeiden/AppTap,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Teleporter: An analytically and forensically sound duplicate transfer system""
}
```",Teleporter,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Testing the National Software Reference Library""
}
```",Dirim,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""The persistence of memory: Forensic identiï¬cation and extraction of cryptographic keys""
}
```",Interrogate,2009,created,academic_research_DFRWS,http://sourceforge.net/projects/interrogate/,SourceForge,repository platform,accessible,no recent activity,Last Update: 2014-06-25,open-source,
"```json
{
    ""title"": ""The use of random sampling in investigations involving child abuse material""
}
```",LinEn,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Tiered forensic methodology model for Digital Field Triage by non-digital evidence specialists""
}
```",custom built Ubuntu boot disk,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Time is on my side: Steganography in ï¬lesystem metadata""
}
```",TOMS,2016,created,academic_research_DFRWS,https://www.sba-research.org/dfrws2016/,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Time-of-recording estimation for audio recordings""
}
```",LESS,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Time-of-recording estimation for audio recordings""
}
```",bSim,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""TLS key material identification and extraction in memory: Current state and future challenges""
}
```",DroidKex,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""TLSkex: Harnessing virtual machine introspection for decrypting TLS communication""
}
```",TLSkex,2016,created,academic_research_DFRWS,http://www.fim.uni-passau.de/sis/,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Toward a general collection methodology for Android devices""
}
```",custom recovery bootimg,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Towards exact and inexact approximate matching of executable binaries""
}
```",apx-bin,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Towards Open-Set Forensic Source Grouping on JPEG Header Information""
}
```",Flickr data collection scripts,2020,created,academic_research_DFRWS,https://faui1-gitlab.cs.fau.de/mullanptr/flickr_data,Gitlab,repository platform,accessible,no recent activity,5 YEARS AGO,open-source,
"```json
{
    ""title"": ""TraceGen: User activity emulation for digital forensic test image generation""
}
```",TraceGen,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Tumblingdownthestairs:Exploiting atumbler â€™sattempttohidewith ordinary-looking transactions usingwalletfingerprinting""
}
```",wallet fingerprinting,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Ubi est indicium? On forensic analysis of the UBI file system""
}
```",UBI Forensic Toolkit (UBIFT),2024,created,academic_research_DFRWS,https://github.com/matthias-deu/ubift,Github,repository platform,accessible,recent activity,18-Feb-24,open-source,
"```json
{
    ""title"": ""Unicode search of dirty data, or: How I learned to stop worrying and love Unicode Technical Standard #18""
}
```",lightgrep,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Unifying Metadata-Based Storage Reconstruction and Carving with LAYR""
}
```",LAYR,2020,created,academic_research_DFRWS,https://github.com/janineschneider/LAYR,Github,repository platform,accessible,no recent activity,6 years agO,open-source,
"```json
{
    ""title"": ""Unifying Metadata-Based Storage Reconstruction and Carving with LAYR""
}
```",DOS,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Unifying Metadata-Based Storage Reconstruction and Carving with LAYR""
}
```",Ext3,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Using computed similarity of distinctive digital traces to evaluate non-obvious links and repetitions in cyber-investigations""
}
```",EmailSimilarity,2018,created,academic_research_DFRWS,https://github.com/timbolle-unil/EmailSimilarity,Github,repository platform,accessible,no recent activity,9 years ago,open-source,
"```json
{
    ""title"": ""Using JPEG quantization tables to identify imagery processed by software""
}
```",Calvin,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Using purpose-built functions and block hashes to enable small block and sub-ï¬le forensics""
}
```",frag_find,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Using purpose-built functions and block hashes to enable small block and sub-ï¬le forensics""
}
```",precarve,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Using relational graphs for exploratory analysis of network traf ï¬c data""
}
```",Granef,2023,created,academic_research_DFRWS,https://granef.csirt.muni.cz/,research-group website,webpage,accessible,recent activity,7 months ago at gitlab,open-source,
"```json
{
    ""title"": ""Using shellbag information to reconstruct user activities""
}
```",TraceHunter,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Using the HFS Djournal for deleted ï¬le recovery""
}
```",HFS Journal Recovery Utility,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""VIDE - Vault App Identification and Extraction System for iOS Devices""
}
```",VIDE,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Video source identification using machine learning: A case study of 16 instant messaging applications""
}
```",Video Source Identifier,,created,academic_research_DFRWS,https://github.com/yhyoy/video_source_identifier,Github,repository platform,accessible,recent activity,29-Nov-24,open-source,
"```json
{
    ""title"": ""Visualization in testing a volatile memory forensic tool""
}
```",Mac Memory Reader,2011,created,academic_research_DFRWS,http://cybermarshal.com/index.php/cyber-marshal-utilities,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""VMI-PL: A monitoring language for virtual platforms using virtual machine introspection""
}
```",VMI-PL,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""volGPT: Evaluation on triaging ransomware process in memory forensics with Large Language Model""
}
```",volGPT,,created,academic_research_DFRWS,not provided,not observable,restricted distribution,restricted,not observable,not observable,not-specified,
"```json
{
    ""title"": ""WARNE: A stalkerware evidence collection tool""
}
```",WARNE,2024,created,academic_research_DFRWS,not provided,not observable,restricted distribution,restricted,not observable,not observable,not-specified,https://github.com/PhilippeMangeard/WarnePublic
"```json
{
    ""title"": ""Well Played, Suspect! â€“ Forensic examination of the handheld gaming console â€œSteam Deck â€""
}
```",Steam Deck Analyzer,2024,created,academic_research_DFRWS,https://github.com/gpgls/autopsy-steam-deck,Github,repository platform,accessible,recent activity,10 months ago,open-source,
"```json
{
    ""title"": ""Who watches the watcher? Detecting hypervisor introspection from unprivileged guests""
}
```",Environmental Characterization and Response (ECR),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Windows Memory Forensics: Detecting (Un)Intentionally Hidden Injected Code by Examining Page Table Entries""
}
```",ptenum,2019,created,academic_research_DFRWS,https://github.com/f-block/DFRWS-USA-2019,Github,repository platform,accessible,no recent activity,12-Dec-23,open-source,
"```json
{
    ""title"": ""Windows memory forensics: Identi ï¬cation of (malicious) modi ï¬cations in memory-mapped image ï¬les""
}
```",imgmal find,2023,created,academic_research_DFRWS,https://github.com/f-block/DFRWS-USA-2023,Github,repository platform,accessible,no recent activity,13-Jul-23,open-source,
"```json
{
    ""title"": ""Windows operating systems agnostic memory analysis""
}
```",Windows agnostic memory analysis tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Windows Surface RT tablet forensics""
}
```",Custom data acquisition tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Wirespeed: Extending the AFF4 forensic container format for scalable acquisition and live analysis""
}
```",Wirespeed,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""XIRAF â€“ XML-based indexing and querying for digital forensics""
}
```",XIRAF,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Your car is recording: Metadata-driven dashcam analysis system""
}
```",Dashcam_Plaso,2021,created,academic_research_DFRWS,https://github.com/kukheon1109/Dashcam_Plaso,Github,repository platform,accessible,no recent activity,4 years ago,open-source,
"```json
{
    ""title"": ""Multi-resolution similarity hashing""
}
```",mrshash,2007,created,academic_research_DFRWS,http://roussev.net/mrshash,personal website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Forensic memory analysis: From stack and code to execution history5""
}
```",stack analyzer,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Analyzing Multiple Logs for Forensic Evidence""
}
```",model checking algorithm,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Analyzing Multiple Logs for Forensic Evidence""
}
```",tableau-based proof system,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automated Windows Event Log Forensics""
}
```",FixEvt,2007,created,academic_research_DFRWS,http://www.murphey.org/fixevt,project website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Capture: A Tool for Behavioral Analysis of Applications and Documents""
}
```",Capture,2007,created,academic_research_DFRWS,http://www.nz-honeynet.org/capture-standalone.html,project website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""File Marshal: Automatic Extraction of Peer-to-Peer Data""
}
```",File Marshal,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""File Marshal: Automatic Extraction of Peer-to-Peer Data""
}
```",registry library,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Introducing the Microsoft Vista Log File Format""
}
```",parser,2007,created,academic_research_DFRWS,http://computer.forensikblog.de/en/2007/08/evtx_parser.html,personal website,webpage,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Digital forensic text string searching: Improving information retrieval effectiveness by thematically clustering search results""
}
```",working tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Multi-resolution similarity hashing""
}
```",multi-resolution similarity hash (MRS hash),2007,created,academic_research_DFRWS,http://roussev.net/mrshash,personal website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""BodySnatcher: Towards reliable volatile memory acquisition by software""
}
```",BodySnatcher,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""The VAD tree: A process-eye view of physical memory""
}
```",vadwalk.py,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""The VAD tree: A process-eye view of physical memory""
}
```",vadinfo.py,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""The VAD tree: A process-eye view of physical memory""
}
```",vaddump.py,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""All your TLS keys are belong to Us: A novel approach to live memory forensic key extraction""
}
```",TLSKeyHunter,2025,created,academic_research_DFRWS,https://github.com/monkeywave/TLSKeyHunter,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Advanced forensic recovery of deleted file data in F2FS""
}
```",F2FS_Recover tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Media source similarity hashing (MSSH): A practical method for large-scale media investigations""
}
```",Media Source Similarity Hash (MSSH),2025,created,academic_research_DFRWS,https://github.com/SamKlier/mssh,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""DEF-IPV: A digital evidence framework for intimate partner violence victims""
}
```",DEF-IPV,2025,created,academic_research_DFRWS,https://tinyurl.com/def-ipv-prototype,project website,webpage,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""DF-graph: Structured and explainable analysis of communication data for digital forensics""
}
```",DF-GRAPH,2025,created,academic_research_DFRWS,https://github.com/microsoft/graphrag,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Automatically generating digital forensic reference data triggered by mobile application updates""
}
```",Puma,2025,created,academic_research_DFRWS,https://github.com/NetherlandsForensicInstitute/puma,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""LangurTrace: Forensic analysis of local LLM applications""
}
```",LangurTrace,2025,created,academic_research_DFRWS,https://github.com/jeongramon/LangurTrace,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Advanced Monero wallet forensics: Demystifying off-chain artifacts to trace privacy-preserving cryptocurrency transactions""
}
```",MoeyEx,2025,created,academic_research_DFRWS,https://github.com/jeong0000/MoeyEx,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Introducing the Microsoft Vista Log File Format""
}
```",substitution array template,2007,created,academic_research_DFRWS,http://computer.forensikblog.de/en/2007/08/evtx_substarray_template.html,project website,webpage,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""File Hound: A Forensics Tool for First Responders""
}
```",File Hound,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Network Forensics Analysis with Evidence Graphs""
}
```",Network Forensics Analysis Tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Scalpel: A Frugal, High Performance File Carver""
}
```",Scalpel,2005,created,academic_research_DFRWS,http://www.digitalforensicsolutions.com/Scalpel,project website,webpage,accessible,not observable,not observable,open-source,
